"","SYMBOL","ENTREZID"
"478","RAET1E","135250"
"479","RBAK","57786"
"480","RBKS","64080"
"481","RBM25","58517"
"482","RBPJL","11317"
"483","REG1B","5968"
"484","REG3A","5068"
"485","REG3G","130120"
"486","REG4","83998"
"487","RLF","6018"
"488","RPL10L","140801"
"489","RPL18","6141"
"490","RPL23A","6147"
"491","RPL26L1","51121"
"492","RPL35","11224"
"493","RPL36A-HNRNPH2","100529097"
"494","RPL39","6170"
"495","RPL3L","6123"
"496","RPL7A","6130"
"497","RPL7L1","285855"
"498","RPL8","6132"
"499","RPL9","6133"
"500","RPS25","6230"
"501","RSL24D1","51187"
"502","S100A10","6281"
"503","S100A14","57402"
"504","S100A2","6273"
"505","S100A3","6274"
"506","SCAF11","9169"
"507","SCARF1","8578"
"508","SCGB2B2","284402"
"509","SCPEP1","59342"
"510","SDCBP2","27111"
"511","SEC61A2","55176"
"512","SEC61G","23480"
"513","SETD4","54093"
"514","SFT2D3","84826"
"515","SFTPA1","653509"
"516","SH2D2A","9047"
"517","SH3KBP1","30011"
"518","SHANK1","50944"
"519","SIVA1","10572"
"520","SKIDA1","387640"
"521","SLC14A2","8170"
"522","SLC25A48","153328"
"523","SLC2A12","154091"
"524","SLC2A6","11182"
"525","SLC2A8","29988"
"526","SLC32A1","140679"
"527","SLC36A3","285641"
"528","SLC36A4","120103"
"529","SLC37A2","219855"
"530","SLC38A10","124565"
"531","SLC38A11","151258"
"532","SLC38A4","55089"
"533","SLC38A6","145389"
"534","SLC38A7","55238"
"535","SLC38A9","153129"
"536","SLC47A2","146802"
"538","SOWAHC","65124"
"539","SP3","6670"
"540","SP4","6671"
"541","SP5","389058"
"542","SP6","80320"
"543","SP8","221833"
"544","SP9","100131390"
"545","SPOP","8405"
"546","SPOPL","339745"
"547","SPRED3","399473"
"548","SPRR2D","6703"
"549","ST20","400410"
"550","STAC","6769"
"551","STEAP1","26872"
"552","STK25","10494"
"553","STOX2","56977"
"554","STXBP3","6814"
"555","SVEP1","79987"
"556","SYT10","341359"
"557","SYT11","23208"
"558","SYT15","83849"
"559","SYT16","83851"
"560","SYT4","6860"
"561","SYT5","6861"
"562","SYT7","9066"
"563","SYT8","90019"
"564","SYT9","143425"
"565","SYTL3","94120"
"566","TANC1","85461"
"567","THOC1","9984"
"568","TINAGL1","64129"
"569","TMCO3","55002"
"570","TMEM41B","440026"
"571","TPBG","7162"
"572","TREM1","54210"
"573","TRNP1","388610"
"574","TUT4","23318"
"575","TXNDC9","10190"
"576","UACA","55075"
"577","UBA2","10054"
"578","UBOX5","22888"
"579","UEVLD","55293"
"580","UFM1","51569"
"581","UNC5B","219699"
"582","VASP","7408"
"583","VRK2","7444"
"584","WDR77","79084"
"585","WIZ","58525"
"586","WNT7B","7477"
"587","YY2","404281"
"589","ZBTB12","221527"
"590","ZBTB14","7541"
"591","ZBTB2","57621"
"592","ZBTB21","49854"
"593","ZBTB22","9278"
"594","ZBTB26","57684"
"595","ZBTB3","79842"
"596","ZBTB32","27033"
"597","ZBTB33","10009"
"598","ZBTB34","403341"
"599","ZBTB37","84614"
"600","ZBTB39","9880"
"601","ZBTB40","9923"
"602","ZBTB41","360023"
"603","ZBTB44","29068"
"604","ZBTB45","84878"
"605","ZBTB47","92999"
"606","ZBTB48","3104"
"607","ZBTB49","166793"
"608","ZBTB5","9925"
"609","ZBTB6","10773"
"610","ZBTB7B","51043"
"611","ZBTB8A","653121"
"612","ZBTB9","221504"
"613","ZCCHC9","84240"
"614","ZDHHC13","54503"
"615","ZFAT","57623"
"616","ZFP1","162239"
"617","ZFP14","57677"
"618","ZFP2","80108"
"619","ZFP28","140612"
"620","ZFP3","124961"
"621","ZFP30","22835"
"622","ZFP37","7539"
"623","ZFP41","286128"
"624","ZFP42","132625"
"625","ZFP62","643836"
"626","ZFP64","55734"
"627","ZFP69","339559"
"628","ZFP69B","65243"
"629","ZFP82","284406"
"630","ZFP90","146198"
"631","ZFP91","80829"
"632","ZFP91-CNTF","386607"
"633","ZFP92","139735"
"634","ZFR","51663"
"635","ZFX","7543"
"636","ZIC4","84107"
"637","ZIK1","284307"
"638","ZIM3","114026"
"639","ZKSCAN3","80317"
"640","ZKSCAN4","387032"
"641","ZKSCAN5","23660"
"642","ZKSCAN7","55888"
"643","ZKSCAN8","7745"
"644","ZMYND8","23613"
"645","ZNF10","7556"
